VCD info: dumpfile BELIEF_PROPAGATION.vcd opened for output.
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

00000000000000000000000000000000 00000000000000000000000000000000 00111110000001010001111010111000 00111111000010100011110101110001 10111110000001010001111010111000 00000000000000000000000000000000

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111101110011001100110011010000 00111111010000000000000000000001
00000000000000000000000000000000 00111101110011001100110011001000 00000000000000000000000000000000 00111111010001010001111010111000 00000000000000000000000000000000 00111111011100110011001100110100
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110000001010001111010111000 10111111001110000101000111101101 00000000000000000000000000000000

00111101110011001100110011010000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111111010000000000000000000001 00111101110011001100110011010000
00000000000000000000000000000000 10111111010001010001111010111000 00000000000000000000000000000000 10111101110011001100110011001000 00000000000000000000000000000000 10111101110011001100110011001000
00000000000000000000000000000000 00000000000000000000000000000000 00111110000001010001111010111000 00111111000010100011110101110001 10111110000001010001111010111000 00000000000000000000000000000000

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111101110011001100110011010000 00111111010000000000000000000001
00000000000000000000000000000000 00111101110011001100110011001000 00000000000000000000000000000000 00111111010001010001111010111000 00000000000000000000000000000000 00111111011100110011001100110100
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110000001010001111010111000 10111111001110000101000111101101 00000000000000000000000000000000

00111101110011001100110011010000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111111010000000000000000000001 00111101110011001100110011010000
00000000000000000000000000000000 10111111010001010001111010111000 00000000000000000000000000000000 10111101110011001100110011001000 00000000000000000000000000000000 10111101110011001100110011001000
00000000000000000000000000000000 00000000000000000000000000000000 00111110000001010001111010111000 00111111000010100011110101110001 10111110000001010001111010111000 00000000000000000000000000000000

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111101110011001100110011010000 00111111010000000000000000000001
00000000000000000000000000000000 00111101110011001100110011001000 00000000000000000000000000000000 00111111010001010001111010111000 00000000000000000000000000000000 00111111011100110011001100110100
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110000001010001111010111000 10111111001110000101000111101101 00000000000000000000000000000000

00111101110011001100110011010000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111111010000000000000000000001 00111101110011001100110011010000
00000000000000000000000000000000 10111111010001010001111010111000 00000000000000000000000000000000 10111101110011001100110011001000 00000000000000000000000000000000 10111101110011001100110011001000
00000000000000000000000000000000 00000000000000000000000000000000 00111110000001010001111010111000 00111111000010100011110101110001 10111110000001010001111010111000 00000000000000000000000000000000

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111101110011001100110011010000 00111111010000000000000000000001
00000000000000000000000000000000 00111101110011001100110011001000 00000000000000000000000000000000 00111111010001010001111010111000 00000000000000000000000000000000 00111111011100110011001100110100
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110000001010001111010111000 10111111001110000101000111101101 00000000000000000000000000000000

00111101110011001100110011010000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111111010000000000000000000001 00111101110011001100110011010000
00000000000000000000000000000000 10111111010001010001111010111000 00000000000000000000000000000000 10111101110011001100110011001000 00000000000000000000000000000000 10111101110011001100110011001000
00000000000000000000000000000000 00000000000000000000000000000000 00111110000001010001111010111000 00111111000010100011110101110001 10111110000001010001111010111000 00000000000000000000000000000000

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111101110011001100110011010000 00111111010000000000000000000001
00000000000000000000000000000000 00111101110011001100110011001000 00000000000000000000000000000000 00111111010001010001111010111000 00000000000000000000000000000000 00111111011100110011001100110100
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110000001010001111010111000 10111111001110000101000111101101 00000000000000000000000000000000

